FIPS,County
36001,Albany
36003,Allegany
36005,Bronx
36007,Broome
36009,Cattaraugus
36011,Cayuga
36013,Chautauqua
36015,Chemung
36017,Chenango
36019,Clinton
36021,Columbia
36023,Cortland
36025,Delaware
36027,Dutchess
36029,Erie
36031,Essex
36033,Franklin
36035,Fulton
36037,Genesee
36039,Greene
36041,Hamilton
36043,Herkimer
36045,Jefferson
36047,Kings
36049,Lewis
36051,Livingston
36053,Madison
36055,Monroe
36057,Montgomery
36059,Nassau
36061,New York
36063,Niagara
36065,Oneida
36067,Onondaga
36069,Ontario
36071,Orange
36073,Orleans
36075,Oswego
36077,Otsego
36079,Putnam
36081,Queens
36083,Rensselaer
36085,Richmond
36087,Rockland
36089,St Lawrence
36091,Saratoga
36093,Schenectady
36095,Schoharie
36097,Schuyler
36099,Seneca
36101,Steuben
36103,Suffolk
36105,Sullivan
36107,Tioga
36109,Tompkins
36111,Ulster
36113,Warren
36115,Washington
36117,Wayne
36119,Westchester
36121,Wyoming
36123,Yates
